_passName,_successfulAttempts,_totalAttempts,_removedBytes
contexts,1,3,-6
expr2Undefined,7,41,-61
familyResultSig,2,4,-14
formatting,1,1,-455
inlineType,0,1,0
mkExportsExplicit,1,1,169
pat2Wildcard,4,5,-26
pragmas,4,48,-68
rmvDecls,14,30,-609
rmvExports,13,13,-161
rmvImports,0,5,0
rmvUnusedParams,2,3,-6
shortenNames,14,87,-139
simplifyConDecl,0,12,0
simplifyDecl,2,7,-29
simplifyExpr,1,4,-4
simplifyMatch,0,4,0
simplifyMatches,1,5,-37
simplifyType,12,13,-68
tyVarBndr,19,25,-260
type2Unit,36,308,-135
unqualImport,0,5,0
