_passName,_successfulAttempts,_totalAttempts,_removedBytes,_removedTokens,_removedNames
Functions.rmvUnusedParams,1,103,-4,-2,-1
Functions:inline,4,29,110,20,9
betaReduceExprs,2,2,-30,-8,-4
contexts,0,8,0,0,0
etaReduceMatches,4,14,-20,-8,-8
expr2Undefined,165,1490,-9974,-1426,-827
filterExprSubList,7,26,-1068,-122,-46
formatting,1,1,-177,0,0
inlineType,1,1,-17,0,0
localBinds,6,66,-443,-74,-32
mkExportsExplicit,1,1,189,21,7
pat2Wildcard,27,164,-131,-31,-32
pragmas,8,14,-130,0,0
rmvConArgs,1,22,-14,-6,-1
rmvConstructors,8,34,-112,-16,-8
rmvDecls,122,283,-27699,-4114,-2477
rmvDerivingClause,0,7,0,0,0
rmvExports,6,14,-168,-18,-6
rmvGuards,2,4,-35,-6,-4
rmvImports,13,19,-266,-43,0
rmvMatches,4,97,-220,-28,-13
rmvRHSs,2,99,-132,-12,-6
rmvSigs,150,201,-10583,-1334,-706
simplifyDerivingClause,5,15,-32,-12,-5
simplifyExpr,8,535,-159,-28,-8
simplifyType,4,16,-19,-6,0
splitSigs,1,14,83,15,8
type2Unit,1,131,-1,1,-1
type2WildCard,0,144,0,0,0
unqualImport,11,18,-311,-61,-20
