_passName,_successfulAttempts,_totalAttempts,_removedBytes,ratio
etaReduceMatches,1,1,-4,1
formatting,1,1,-27,1
tyVarBndr,16,18,-317,0.888888888888889
rmvSigs,20,26,-758,0.769230769230769
familyResultSig,5,9,-118,0.555555555555556
rmvFunDeps,4,10,-110,0.4
typefamilies:rmvEquations,8,23,-240,0.347826086956522
TypeFamilies.rmvUnusedParams,2,7,-17,0.285714285714286
simplifyDerivingClause,1,5,-8,0.2
simplifyType,28,182,-308,0.153846153846154
pat2Wildcard,18,138,-34,0.130434782608696
rmvDecls,25,272,-1591,0.091911764705882
Functions.rmvUnusedParams,5,55,-61,0.090909090909091
rmvMatches,7,79,-183,0.088607594936709
rmvConstructors,1,17,-7,0.058823529411765
rmvImports,1,18,-20,0.055555555555556
rmvTyClMethods,1,19,-74,0.052631578947369
inlineFunctions,1,20,-1,0.05
contexts,2,43,-50,0.046511627906977
pragmas,2,54,-25,0.037037037037037
expr2Undefined,30,1016,-101,0.029527559055118
type2Unit,33,1274,-36,0.025902668759812
simplifyExpr,7,353,-95,0.019830028328612
type2WildCard,12,1562,-37,0.007682458386684
TypeFamilies:apply,14,30085,-246,0.000465348180156
Typeclasses.rmvUnusedParams,0,8,0,0
handleMultiParams,0,68,0,0
rmvConArgs,0,20,0,0
rmvExports,0,4,0,0
rmvRHSs,0,102,0,0
simplifyConDecl,0,24,0,0
simplifyDeriving,0,4,0,0
splitSigs,0,10,0,0
unqualImports,0,23,0,0
