_passName,_successfulAttempts,_totalAttempts,_removedBytes,_removedTokens,_removedNames
Functions.rmvUnusedParams,4,112,-111,-9,-7
Functions:inline,11,72,415,122,46
TypeFamilies.apply,5,76,-100,-18,-16
TypeFamilies.familyResultSig,0,6,0,0,0
TypeFamilies.rmvUnusedParams,0,6,0,0,0
Typeclasses.rmvUnusedParams,3,49,-99,-10,-7
betaReduceExprs,10,12,-20,-38,-20
contexts,0,36,0,0,0
etaReduceMatches,2,19,-16,-4,-3
expr2Undefined,62,2495,-332,-137,-71
filterExprSubList,0,145,0,0,0
formatting,1,1,-1233,0,0
handleMultiParams,0,30,0,0,0
inlineType,0,1,0,0,0
localBinds,7,63,-185,-38,-12
pat2Wildcard,18,274,-32,-7,-23
pragmas,2,12,-35,0,0
rmvConArgs,3,55,-284,-55,-32
rmvConstructors,6,76,-93,-25,-16
rmvDecls,20,444,-978,-199,-131
rmvExports,0,2,0,0,0
rmvGuards,3,6,-38,-16,-12
rmvImports,2,20,-41,-6,0
rmvMatches,43,336,-1578,-390,-216
rmvRHSs,3,368,-163,-32,-18
rmvSigs,59,144,-2618,-683,-370
rmvTyClMethods,4,34,-141,-38,-21
simplifyConDecl,0,36,0,0,0
simplifyExpr,18,993,-270,-63,-26
simplifyType,12,115,-102,-22,-14
splitSigs,0,12,0,0,0
tyVarBndr,0,6,0,0,0
type2Unit,15,855,-34,-2,-16
type2WildCard,1,1045,-5,-3,-2
unqualImport,5,20,-60,-24,-5
